,Unnamed: 0,Texto del Tweet,Autor,Fecha del Tweet,Favoritos,Retweets,Texto limpiado,POS tagged,SWN analysis
0,0,9 pulls knobs Salvage no sets Vintage by rarefinds4u https://t.co/7W5suy7Zlt via @Etsy #TMTinsta #vintage #freeshipping #pulls #knobs #salvage #hardware,MormorJan,Mon Jun 20 20:40:14 +0000 2022,0,6, pulls knobs Salvage sets Vintage rarefinds u via TMTinsta vintage freeshipping pulls knobs salvage hardware,"[('pulls', 'n'), ('knobs', 'v'), ('Salvage', 'n'), ('sets', 'n'), ('Vintage', 'n'), ('rarefinds', 'v'), ('u', 'a'), ('via', None), ('TMTinsta', 'n'), ('vintage', 'n'), ('freeshipping', 'v'), ('pulls', 'n'), ('knobs', 'a'), ('salvage', 'n'), ('hardware', 'n')]",Positive
1,1,"@dSPACEglobal to Showcase a Variety of Hardware and Software Solutions at @embedded_world 2022

Read more: https://t.co/ZZt3Hz4XrS

#ew22 #hardware #software #embedded #radar #IoT #RF #automotive https://t.co/80Q0AiOeNQ",dSPACEglobal,Mon Jun 20 20:16:36 +0000 2022,0,1, Showcase Variety Hardware Software Solutions world Read ew hardware software embedded radar IoT RF automotive ,"[('Showcase', 'n'), ('Variety', 'n'), ('Hardware', 'n'), ('Software', 'n'), ('Solutions', 'n'), ('world', 'n'), ('Read', 'n'), ('ew', 'n'), ('hardware', 'n'), ('software', 'n'), ('embedded', 'v'), ('radar', 'n'), ('IoT', 'n'), ('RF', 'n'), ('automotive', 'a')]",Positive
2,2,"Meta's new Avatar Store is 10 years too late, looks very outdated https://t.co/DWR1okBqEq #pcbuild #pcsetup #hardware",cooltechrobot,Mon Jun 20 20:08:24 +0000 2022,0,1,Meta new Avatar Store years late looks outdated pcbuild pcsetup hardware,"[('Meta', 'n'), ('new', 'a'), ('Avatar', 'n'), ('Store', 'n'), ('years', 'n'), ('late', 'a'), ('looks', 'n'), ('outdated', 'v'), ('pcbuild', 'a'), ('pcsetup', 'n'), ('hardware', 'n')]",Positive
3,3,"Excited to share my first foray into music-making hardware! The Abacuysnth is designed to be easy and fun to play regardless of musical background -- it's a physical implementation of some ideas I've been experimenting with in software.

#synth #synthesizer #hardware #music #dsp https://t.co/OSWujU5zt3",narraloc,Mon Jun 20 19:17:52 +0000 2022,0,2769,Excited share first foray music making hardware Abacuysnth designed be easy fun play regardless musical background s physical implementation some ideas ve experimenting in software synth synthesizer hardware music dsp ,"[('Excited', 'n'), ('share', 'n'), ('first', 'a'), ('foray', 'n'), ('music', 'n'), ('making', 'v'), ('hardware', 'a'), ('Abacuysnth', 'n'), ('designed', 'v'), ('easy', 'a'), ('fun', 'a'), ('play', 'n'), ('regardless', 'r'), ('musical', 'a'), ('background', 'n'), ('physical', 'a'), ('implementation', 'n'), ('ideas', 'n'), ('experimenting', 'v'), ('software', 'n'), ('synth', 'a'), ('synthesizer', 'n'), ('hardware', 'n'), ('music', 'n'), ('dsp', 'n')]",Positive
4,4,"📚 Exploring Arduino Tools and Techniques for Engineering Wizardry - Jeremy Blum - 1ra Edition 
➖➖➖ 
✅ https://t.co/4FhKDmsVSd 
➖➖➖
#Arduino #Circuit #Engineering #Functions #Hardware #Interfaces #Internet #Learning #LenguajesyProgramación https://t.co/ktHKKyvCvZ",AndresReyes_Mzt,Mon Jun 20 18:57:16 +0000 2022,0,2, Exploring Arduino Tools Techniques Engineering Wizardry Jeremy Blum ra Edition Arduino Circuit Engineering Functions Hardware Interfaces Internet Learning LenguajesyProgramación ,"[('Exploring', 'v'), ('Arduino', 'n'), ('Tools', 'n'), ('Techniques', 'n'), ('Engineering', 'n'), ('Wizardry', 'n'), ('Jeremy', 'n'), ('Blum', 'n'), ('ra', 'v'), ('Edition', 'n'), ('Arduino', 'n'), ('Circuit', 'n'), ('Engineering', 'n'), ('Functions', 'n'), ('Hardware', 'n'), ('Interfaces', 'n'), ('Internet', 'n'), ('Learning', 'n'), ('LenguajesyProgramación', 'n')]",Positive
5,5,"Is your current hardware supplier letting you down? 🤔 Then get in touch with the Total Team. With over 18 years' experience, we know what good customer service looks like. Call 0113 243 2255
#hardware #totalhardware https://t.co/tWwIpdCkgS",RWSimonLimited,Mon Jun 20 18:52:12 +0000 2022,0,2,your current hardware supplier letting down get touch the Total Team over years experience know good customer service looks like Call hardware totalhardware ,"[('current', 'a'), ('hardware', 'n'), ('supplier', 'n'), ('letting', 'v'), ('get', 'v'), ('touch', 'a'), ('Total', 'a'), ('Team', 'n'), ('years', 'n'), ('experience', 'r'), ('know', 'v'), ('good', 'a'), ('customer', 'n'), ('service', 'n'), ('looks', 'v'), ('like', None), ('Call', 'n'), ('hardware', 'n'), ('totalhardware', 'n')]",Positive
6,6,"World's first PlayStation 5 slim: water-cooled design, 85% thinner https://t.co/vRqWZCR8zO #hardware",__benzene__,Mon Jun 20 18:51:05 +0000 2022,0,1,World first PlayStation slim water cooled design thinner hardware,"[('World', 'n'), ('first', 'a'), ('PlayStation', 'n'), ('slim', 'n'), ('water', 'n'), ('cooled', 'v'), ('design', 'n'), ('thinner', 'n'), ('hardware', 'n')]",Neutral
7,7,"⭐Keynote Uploaded📺 Want to know how Joe ended up #hacking a💼 #hardware #wallet ? 

😎Watch this amazing Keynote talk by @joegrand &amp; experience the whole journey + setup &amp; interesting discoveries

Click to Play▶️https://t.co/jCxD2IZgr5

#hw_ioUSA2022 #hardwaresecurity #keynote",Ministraitor,Mon Jun 20 18:46:12 +0000 2022,0,2, Keynote Uploaded Want know Joe ended hacking hardware wallet Watch amazing Keynote talk amp experience whole journey setup amp interesting discoveries Click Play hw ioUSA hardwaresecurity keynote,"[('Keynote', 'n'), ('Uploaded', 'n'), ('Want', 'n'), ('know', 'v'), ('Joe', 'n'), ('ended', 'v'), ('hacking', 'v'), ('hardware', 'a'), ('wallet', 'n'), ('Watch', 'n'), ('amazing', 'v'), ('Keynote', 'n'), ('talk', 'n'), ('amp', 'n'), ('experience', 'n'), ('whole', 'a'), ('journey', 'n'), ('setup', 'n'), ('amp', None), ('interesting', 'v'), ('discoveries', 'n'), ('Click', 'n'), ('Play', 'n'), ('hw', None), ('ioUSA', 'a'), ('hardwaresecurity', 'n'), ('keynote', 'n')]",Negative
8,8,Video: Here's The Story Behind The Cancelled Wii Plush Toy Game 'Wiiwaa' https://t.co/PoiJilzzPR #Repost #Wii #Hardware #Video https://t.co/rM4dtSLAuK,leighwynne33,Mon Jun 20 18:28:07 +0000 2022,0,6,Video s Story Behind Cancelled Wii Plush Toy Game Wiiwaa Repost Wii Hardware Video ,"[('Video', 'n'), ('Story', 'n'), ('Behind', 'n'), ('Cancelled', 'n'), ('Wii', 'n'), ('Plush', 'n'), ('Toy', 'n'), ('Game', 'n'), ('Wiiwaa', 'n'), ('Repost', 'n'), ('Wii', 'n'), ('Hardware', 'n'), ('Video', 'n')]",Neutral
9,9,"📨Do you have a pre-compiled #version of Hexabitz #firmware?
🙂👉https://t.co/g18tNh2ogb
#coding #PCB #automation #edtech #hardware #software #FAQ #IoT #Marketing #STEM #MakerEd #robotics #programmers #100DaysOfCode #Entertainment https://t.co/xJrBCI392B",jimmyroybloom,Mon Jun 20 18:01:44 +0000 2022,0,7,you a pre compiled version Hexabitz firmware coding PCB automation edtech hardware software FAQ IoT Marketing STEM MakerEd robotics programmers DaysOfCode Entertainment ,"[('pre', 'n'), ('compiled', 'v'), ('version', 'n'), ('Hexabitz', 'n'), ('firmware', 'n'), ('coding', 'v'), ('PCB', 'n'), ('automation', 'n'), ('edtech', 'n'), ('hardware', 'n'), ('software', 'n'), ('FAQ', 'n'), ('IoT', 'n'), ('Marketing', 'n'), ('STEM', 'n'), ('MakerEd', 'n'), ('robotics', 'n'), ('programmers', 'n'), ('DaysOfCode', 'n'), ('Entertainment', 'n')]",Positive
